// object has instance vars and isn't a class, get a snapshot to be marshalled // and output the ivar header here
// line 1480
// make all sockets blocking as configured again // close unregisters all channels, so we can safely reset blocking modes
// normal all-rest method
// line 1210
// TODO: make more efficient by not creating IRubyArray[]
// TODO: Ruby unlocks the string here
// We don't append '+' since Java number parser gets confused
// We could not find all of them print out first one (we could print them all?)
// EQ == 0 (i.e. false) // pop the extra result and replace with the send part of the AND
// line 1814
// confirm maximum not greater than optional
// RubyIPSocket
// Not sure how well this works, but it works much better than // just currentTimeMillis by itself.
// line 1320
// TODO: wire into new exception handling mechanism
// rubyObject is already of the required jruby class (or subclass)
// we set all Java methods to optional, since many/most have overloads
// line 1434
// line 407
// Count of nested parentheses (1.9 only)
// A scoped location of this variable (high 16 bits is how many scopes down and low 16 bits // is what index in the right scope to set the value.
// line 543
// first char must be digit or decimal point
// with block literal (iter)
//consume the file name
// any exceptions raised must continue to be raised, skipping $! restoration
// if we expect a return value, unwrap it
// FIXME: This is probably not very efficient, since it loads all methods for each call
// Does this instruction have side effects as a result of its operation // This information is used in optimization phases to impact dead code elimination // and other optimization passes
// ////////////////// COMMON CONSTANT / CVAR METHODS //////////////// //
// TODO: NOT_ALLOCATABLE_ALLOCATOR is probably ok here, since we don't intend for people to monkey with // this type and it can't be marshalled. Confirm. JRUBY-415
// just save a count of zeroes for now; if no digit // ends up following them, they'll be applied to the // exponent rather than the significand (and our max // length for optimistic calc).
// line 1207
// This is almost always already interned, since it will be called with a symbol in most cases // but when created from Java code, we might get an argument that needs to be interned. // addAccessor has as a precondition that the string MUST be interned
// rb_reg_raise
// // Avoid double-copying for reads that are larger than the buffer size, or // the destination is a direct buffer. //
// quietly try to load the class
// Line where current executing unit is being evaluated
// no-arg constructor using static references to Ruby and RubyClass
// If we have more than one arg, make sure the array created to contain them is not ObjectSpaced
// add $RUBYLIB paths
// Accessor methods.
// See [ruby-core:17483]
// Default objects
// FIXME: This is temporary since the variable compilers assume we want // args already on stack for assignment. We just pop and continue with // 1.9 args logic.
"/**     * Process streams get Channel.newChannel()ed into FileChannel but are not actually     * seekable. So instead of just the isSeekable check doing instanceof FileChannel,     * we must also add this boolean to check, which we set to false when it's known     * that the incoming channel is from a process.     *      * FIXME: This is gross, and it's NIO's fault for not providing a nice way to     * tell if a channel is ""really"" seekable.     */"
// default for starting tempVariableIndex is ok
// Stores
// line 159 "-" // %token constants
// // rb_str_buf_append
// The name of the variable
// all these types are immediately considered "defined"
// What linenumber will the source think it starts from?
// clear runtime so it doesn't get stuck in memory (JRUBY-2933)
// line 1075
// For closures, a redo is a jump to the beginning of the closure // For non-closures, a redo is a jump to the beginning of the loop
// This is needed when the enclosing class or module is a singleton. // In that case, we generated a name such as null::Foo, which broke  // Marshalling, among others. The correct thing to do in this situation  // is to insert the generate the name of form #<Class:01xasdfasd> if  // it's a singleton module/class, which this code accomplishes.
// generate method cache initialization code
// line 757
// ignore // switch
// we can't rename a file while it's open in windows
// TODO: make it 16 now ? // MUST be power of 2!
// Don't bother
// this is a rather ugly hack, but similar to MRI. See hash.c:ruby_setenv and similar in MRI // we search all keys for a case-insensitive match, and use that
// range_each_func(range, step_i, b, e, args);
// line 836
//                case FLOAT:
// A thread pool to use for executing this runtime's Ruby threads
// TODO: READ_CHECK from MRI
// build a list of all modules to consider for inclusion
// ------ Define the operations below ----
// line 429
// FIXME: inefficient; constructing a bignum just for dumping?
// ignore; we won't use invokedynamic
// dangling '%' char
// TODO: add trace call?
"/*  ================     *  Instance Methods     *  ================      */"
// restore position
// TODO: why are we duplicating the constants here, and then in // File::Constants below? File::Constants is included in IO.
// Dir::tmpdir
/* EvStrNode :"#{some expression}"*/
// line 604
// if root of method is rescue, build as a light rescue
"/*      * This method takes as input a map of operands to their values, and outputs     *     * If the value map provides a value for any of the instruction's operands     * this method is expected to replace the original operands with the simplified values.     * It is not required that it do so -- code correctness is not compromised by failure     * to simplify     */"
"/* Currently dead code, but useful when we figure out how to actually perform translit.    private static boolean isTranslit(String encoding) {        return encoding.toLowerCase().indexOf(TRANSLIT) != -1 ? true : false;    }*/"
// No actual test, so do 'when' if when expression is not nil
// line 1140
// list of interfaces we implement
// TODO: varargs?
// implement all forces implementation of all interfaces we intend // for this class to implement
// declare locals for Java debugging purposes
// Assign the closure to the block variable in the parent scope and return it
// prepare a faster handle if handles are enabled and the method and class are public
// any BigInteger is bigger than Fixnum and we don't have FIXABLE
// Create constants for open flags
// line 1625
// oh, well, it was worth a try. go let // Double/FloatingDecimal handle it
// else [default] reduce (yyN)
// could not get canonical path, just use given path
// check arity in the variable-arity version
// Explicit reference to these vars as symbols...
// MRI behavior: now check arg count
// update the hash value
// create the class
// line 1636
// uber-ThreadKill catcher, since it should always just mean "be dead"
// this constructor is used by fdopen, so we don't increment descriptor ref count
// unsigned int, native // unsigned long, native
// build first node only and return false
// Rehash the table if the threshold is exceeded
// EntryRefs include hash with key to facilitate lookup by Segment#expunge // after ref is removed from ReferenceQueue
// Build IR for body
// Note: We can't use file.exists() to check whether the symlink // exists or not, because that method returns false for existing // but broken symlink. So, we try without the existence check, // but in the try-catch block. // MRI behavior: symlink? on broken symlink should return true.
// rest in ivar count followed by name/value pairs
// Make sure this is not a directory or unavailable in some way
// line 1247
// SSS FIXME: This should never get called for constant svalues
// normal closure
// calltype // block
// Creates the new entry.
// Change visibility so others can see it
// We're cloning ourselves, so we know the result should be a RubyObject
// Not exposed by filetest, but so similiar in nature that it is stored here
// the load method is used for loading as a top-level script, and prepares appropriate scoping around the code
// line 551
// do nothing, return dummy version below
// SSS: Looks like we receive the arg in buildBlockArgsAssignment via the IterNode // We won't get here for argument receives!  So, buildDasgn is called for // assignments to block variables within a block.  As far as the IR is concerned, // this is just a simple copy
// useful for code completion inside the IRB
// Create constants for flock
// Workaround for JRUBY-4149
// TODO: no java stringity
// TODO: This is also defined in the MetaClass too...Consolidate somewhere.
// get call site and thread context
// TODO: turn off readable? am I reading this right? // This only seems to be used while duping below, since modes gets // reset to actual modes afterward //fptr->mode &= (m & FMODE_READABLE) ? ~FMODE_READABLE : ~FMODE_WRITABLE;
//                    // check arity //                    checkArity(mv, scope);
// Ruby's OMG capture all source in a Hash feature // Add each line to buffer when encountering newline or EOF for first time.
// rethrow to outer flow catcher
// TODO: adjust length so it won't fall in the middle  // of a multi-byte character. MRI's sprintf.c uses tables // in a modified version of regex.c, which assume some // particular  encoding for a given installation/application. // (See regex.c#re_mbcinit in ruby-1.8.5-p12)  // // This is only an issue if the user specifies a precision // that causes the string to be truncated. The same issue // would arise taking a substring of a ByteList-backed RubyString.
// This code exploits the fact that all .jar files will be found for the JarredScript feature. // This is where the basic extension mechanism gets fixed
// execute command with sh -c // this does shell expansion of wildcards
// use numbered access method
// line 1854
// The template for interface modules
// just unix
// line 1797
// Do not open as 'rw' by default since a file with read-only permissions will fail on 'rw'
// line 546
// XXX: const lookup can trigger const_missing; is that enough to warrant it always being executed?
// end suffix iteration
// load all arguments straight through
// Function not used...but it gets rid of unused warnings in Eclipse (we do call those methods // from Ruby so they are not really unused).
// all other arg cases with block
// all errors, just info; do not prevent unloading // IKVM does not support JMX, and throws an error
// // construct the super-proxy method //
// line 634
//yyDefRed 889
// no arg grouping, just use bulk assignment methods
/* --------- "Abstract"/"please-override" methods --------- */
//char hexValue = scanHex(2);
// TODO: WRONG - get interfaces from class
